"table_catalog";"table_schema";"table_name";"table_type";"self_referencing_column_name";"reference_generation";"user_defined_type_catalog";"user_defined_type_schema";"user_defined_type_name";"is_insertable_into";"is_typed";"commit_action"
"coagiswarehouse";"coagis";"coa_common_street_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_lower_white_fawn_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_traffic_calming_selection_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_traffic_calming_potential_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_traffic_counts_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_24inch_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_dev_loc_make_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_its_table_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_full_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_full_105_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_property_master_105_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_added_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_deleted_105_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_deleted_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_urban_progress_zones_2007_2008_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_urban_progress_zones_current_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"pp_sdz_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"pp_surface_parking_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_36inch_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_abandoned_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_sidewalk_path_parkname_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"sde_session_t1571273";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_disconnects_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_2007_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_2007_in_city_deltalert_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_2007_in_city_etj_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_2007_in_city_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_closures_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_2007_in_common_reporting_areas";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_accella_apo_parcel_attr_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_estoppel_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_pressure_zone";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"hc_airport_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mapasheville_street_sweep_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mapasheville_traffic_signals_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"nhd_sfha_major_lakes_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mapasheville_water_gravity_main_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"munis_utility_work_orders_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_lidar_contours_100ft_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_lidar_contours_10ft_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_firm_panels_2007_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"nrcs_soils_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"pp_taxvalue_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"pp_zoniing_wieght_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_radio_test_leaf_off_greatestvalue_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_pedplan_nbhd_sidewalk_projects_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_maximo_tickets_oldmaximo_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_maximo_work_order_oldmaximo_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_maximo_tickets_open_oldmaximo_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_fire_reportarea_aspont_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_census_2010_fire_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_aquatic_buffer_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_prct_along_crossed_lines_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_flat_top_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_spivey_mountain_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs1_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"nhd_waterbody_union_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_county_transfer_station_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_impervious_building_footprints_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_maximo_work_order_all_oldmaximo_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_poi_coa_sec_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_poi_coa_it_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_poi_coa_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"i2921";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_buffer100ft_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_water_gravity_main_pressurezones_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_in_city_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_fullstreets_zipcode_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_interpolated_street_as_line_city_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_bus_tours_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mobile311_graffiti_requests_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mobile311_requests_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"munis_meters_gps_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_difference_floodway_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"munis_meters_to_water_meters_compare_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_lidar_contours_simplified_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_sfha_difference_floodplain_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_dup_structure_point_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"munis_utility_billing_wok_orders_table";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"bc_address_duplicate_civicaddressid_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_addresses_zip_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_same_addresses_with_different_zips_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"cjiscad_fire";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_streettype_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_suffixdirection_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_zipcode_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_adoptastreet_centerline_notvalid_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_property_duplicate_accountnumbers_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_bc_address_in_etj_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_in_etj_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_one_range_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_property_master_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_added_105_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_api_accella_apo_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_munis_import_changed_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_muniscpfinput_changed_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_rddrc_parcels_table_mismatch_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_weedandseed";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"coa_trashcans_pinnumbers_with_cans_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_trashcans_pinnumbers_with_no_cans_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_unmatched_pin_for_trash_cans_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_innovation_district_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_address_law_beats_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_city_public_works_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_firebattalion1_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_transitional_use_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_property_condo_99999addr_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_dtdr_overlay_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_fire_district_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_districts_zoning_error_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_river_district_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_prct_along_x_lines_city_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_address_buffers_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_civicaddress_pinnum_data_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"i2784";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_mount_royal_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_prct_along_x_lines_etj_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_peach_knob_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_structure_openblock_point_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_tunnel_road_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_viewshed_upper_white_fawn_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fire_city_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"i2765";"BASE TABLE";"";"";"";"";"";"YES";"NO";""
"coagiswarehouse";"coagis";"ncfmp_lidar_contours_20ft_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"ncfmp_lidar_contours_50ft_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_flood_plain_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_hrc_overlay_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_inspection_group_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_jurisdiction_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs10_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_zipcode_community_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_opendata_crime_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"pp_ramps_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_property_aspoint_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_delta_alert_split_west_line_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs2_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_bc_addres_offset_view";"VIEW";"";"";"";"";"";"NO";"NO";""
